Weight (in Lbs ),Zone-2,Zone-3,Zone-4,Zone-5,Zone-6,Zone-7,Zone-8
106,23.97,24.12,25.67,27.33,31,34.11,37.63
107,24.32,24.47,26.22,27.86,31.27,34.41,38.29
108,24.66,24.83,26.26,27.87,31.56,34.71,38.3
109,25.02,25.16,26.55,28.15,31.84,35,38.63
110,25.33,25.53,26.85,28.42,32.15,35.32,38.98
111,25.61,25.82,27.41,28.7,32.42,35.61,39.39
112,26.13,26.36,27.7,28.97,32.69,35.92,39.81
113,26.16,26.38,28.02,29.24,32.98,36.21,40.54
114,26.43,26.92,28.32,29.81,33.54,36.82,40.8
115,26.72,27.22,28.36,29.89,33.55,36.83,40.81
116,27,27.34,28.94,30.03,33.77,37.05,41.06
117,27.27,27.63,29.23,30.58,34.05,37.64,41.72
118,27.56,28.18,29.26,30.67,34.33,37.64,42.1
119,27.85,28.22,29.56,30.85,34.62,37.94,42.6
120,28.33,28.74,29.86,31.13,34.9,38.23,42.65
121,28.64,28.91,30.18,31.36,35.12,38.44,42.84
122,28.84,29.17,30.48,31.64,35.4,39.04,43.19
123,29.13,29.21,31.09,31.9,35.68,39.14,43.53
124,29.41,29.78,31.11,32.19,35.97,39.33,43.86
125,29.71,29.79,31.42,32.47,36.25,39.63,44.19
126,30.28,30.37,32.04,32.68,36.45,40.15,45.33
127,30.3,30.38,32.36,32.96,36.74,40.15,45.33
128,30.59,30.6,32.67,33.25,37.28,40.87,46.01
129,31.17,31.19,32.98,33.54,37.29,40.87,46.01
130,31.18,31.28,33.28,33.8,37.56,41.02,46.25
131,31.46,31.49,33.71,34.03,37.77,41.52,46.71
132,31.76,32.09,33.71,34.31,38.05,41.52,46.93
133,32.06,32.15,33.93,34.58,38.32,41.81,47.09
134,32.35,32.39,34.26,34.88,38.61,42.1,47.29
135,32.59,33.03,34.57,35.17,38.92,42.41,47.97
136,32.87,33.42,35.46,35.47,39.24,42.72,47.98
137,33.15,33.43,35.71,35.72,39.47,42.99,48.3
138,33.45,33.96,36.24,36.35,40.16,43.76,49.18
139,33.76,34.3,36.24,36.36,40.28,43.76,49.18
140,34.05,34.4,36.25,36.65,40.48,43.93,49.33
141,34.35,34.62,36.92,36.94,40.71,44.16,49.57
142,34.5,34.94,36.93,37.24,41.02,44.47,49.89
143,34.8,35.27,37.25,37.54,41.33,44.78,50.24
144,35.11,35.59,37.97,37.97,41.64,45.08,50.57
145,35.23,36.63,38.14,38.15,41.95,45.38,50.91
146,35.53,36.64,38.29,38.43,42.26,45.68,51.24
147,36.07,36.65,38.65,38.74,42.56,45.99,51.59
148,36.16,36.92,39.05,39.07,43.2,46.3,51.93
149,36.26,37.24,39.34,39.34,43.3,46.6,52.51
150,36.57,37.57,39.99,40.67,43.52,46.92,52.86
